Category,Number of Papers
cs.LG,203763
hep-ph,185137
hep-th,171427
quant-ph,157449
cs.CV,144985
cs.AI,113744
gr-qc,111566
astro-ph,105380
cond-mat.mtrl-sci,97027
cond-mat.mes-hall,93691
math-ph,82636
math.MP,82636
cs.CL,76693
cond-mat.str-el,76401
cond-mat.stat-mech,75786
astro-ph.CO,70132
math.CO,69595
stat.ML,68949
astro-ph.GA,67946
math.AP,65552
astro-ph.SR,62880
astro-ph.HE,60856
math.PR,58915
nucl-th,58744
hep-ex,55592
math.AG,54496
math.OC,52195
physics.optics,49221
cs.IT,49050
math.IT,49050
cond-mat.supr-con,44375
math.NT,43788
math.DG,43691
cond-mat.soft,41402
math.NA,40877
math.DS,38512
cs.RO,37996
cs.CR,37291
cs.SY,35649
math.FA,32460
eess.SP,31621
astro-ph.IM,30945
astro-ph.EP,30758
physics.flu-dyn,29835
stat.ME,29302
hep-lat,28710
eess.SY,27430
math.RT,27268
cs.NA,27069
nucl-ex,26548
eess.IV,26111
cs.DS,25416
cond-mat.dis-nn,24461
physics.comp-ph,24331
math.ST,24304
stat.TH,24304
cs.NI,23701
math.GT,23655
physics.chem-ph,23651
cs.DC,23522
math.GR,23151
math.CA,23061
physics.soc-ph,22959
cond-mat.quant-gas,22074
physics.ins-det,21967
physics.atom-ph,21912
cs.CY,21426
cs.HC,21113
cs.SI,21002
physics.app-ph,19988
stat.AP,19821
math.QA,19531
cs.IR,19429
cs.SE,19060
math.RA,18090
math.CV,17672
physics.plasm-ph,17540
eess.AS,17283
cs.LO,16934
math.AT,16287
cs.SD,16191
nlin.CD,16115
cond-mat.other,16090
physics.bio-ph,16037
cs.NE,15469
cond-mat,14215
cs.DM,14030
math.LO,13908
math.AC,13399
math.OA,13034
cs.GT,12369
nlin.SI,12186
q-bio.PE,11838
math.MG,11681
cs.CC,11356
q-bio.QM,11211
physics.data-an,10834
physics.gen-ph,10459
q-bio.NC,10218
math.SP,10089
nlin.PS,10040
cs.DB,9515
math.SG,9397
math.CT,9030
stat.CO,8806
physics.class-ph,8785
cs.MA,8599
cs.PL,8327
cs.CE,8093
physics.acc-ph,8044
physics.geo-ph,7573
physics.med-ph,7556
cs.MM,7437
nlin.AO,7419
cs.CG,7176
physics.ao-ph,7047
cs.GR,7016
physics.space-ph,6818
math.KT,6113
q-bio.BM,5968
cs.AR,5809
math.GN,5366
q-fin.EC,5307
cs.FL,5232
cs.ET,5226
cs.DL,5184
physics.hist-ph,5114
econ.GN,4743
cs.PF,4255
math.GM,4187
econ.EM,4110
physics.ed-ph,4064
q-bio.MN,3838
math.HO,3791
q-fin.ST,3781
q-bio.GN,3324
physics.atm-clus,2816
econ.TH,2803
q-fin.GN,2741
q-fin.MF,2727
cs.SC,2703
q-fin.CP,2650
physics.pop-ph,2495
q-fin.RM,2437
chao-dyn,2398
q-bio.TO,2374
cs.MS,2327
q-bio.CB,2247
cs.OH,2231
q-fin.PR,2024
q-fin.PM,1997
q-fin.TR,1893
q-bio.SC,1723
q-alg,1578
nlin.CG,1554
alg-geom,1423
solv-int,1413
stat.OT,1407
q-bio,1356
q-bio.OT,1349
cs.OS,1016
cmp-lg,894
dg-ga,732
patt-sol,650
adap-org,584
funct-an,427
mtrl-th,262
chem-ph,251
comp-gas,221
cs.GL,217
supr-con,175
atom-ph,123
acc-phys,49
plasm-ph,38
ao-sci,17
bayes-an,16
