Year,acc-phys,adap-org,alg-geom,ao-sci,astro-ph,atom-ph,bayes-an,chao-dyn,chem-ph,cmp-lg,comp-gas,cond-mat,cs,dg-ga,econ,eess,funct-an,gr-qc,hep-ex,hep-lat,hep-ph,hep-th,math,math-ph,mtrl-th,nlin,nucl-ex,nucl-th,patt-sol,physics,plasm-ph,q-alg,q-bio,q-fin,quant-ph,solv-int,stat,supr-con
2007,1,96,98,0,21177,6,0,339,15,105,14,33861,10561,67,0,0,18,6267,2898,1580,14868,11553,66774,6524,16,4318,958,3348,72,13117,1,100,3397,0,10483,275,1208,11
2008,27,122,1002,9,11262,24,12,343,59,670,58,10118,4548,484,0,0,273,5703,3119,2127,13637,11485,21534,2617,46,1868,1629,4649,69,5046,8,766,993,1002,3022,242,1104,12
2009,9,248,122,2,60405,72,1,1354,134,22,102,80499,6251,83,0,0,54,13712,3263,5764,30680,30824,29208,5873,153,7890,2227,9536,401,16129,24,483,3043,916,14067,636,1338,119
2010,1,1,22,0,8096,2,1,12,0,0,1,10915,7725,10,0,0,4,4000,2210,1487,7435,7555,22443,2293,0,1037,727,1686,1,5726,0,13,1099,559,3063,10,1336,2
2011,1,2,10,0,9940,4,0,9,1,0,0,12352,9294,4,0,0,5,3998,1843,1137,8570,6625,26501,3234,0,1149,917,2416,2,6818,0,27,1236,566,3868,16,1814,2
2012,4,5,7,0,6165,0,0,12,0,2,0,13364,13408,0,0,0,0,2447,2530,708,3268,2954,29116,2905,2,1268,746,1136,0,8246,0,9,1588,624,3981,7,3014,2
2013,0,0,6,0,7380,0,0,4,0,0,0,18020,16957,4,0,0,1,3283,2106,1063,5765,4458,33080,3095,0,1414,912,1897,2,9847,0,3,2316,776,5486,4,3413,0
2014,1,2,15,0,11982,0,0,5,0,0,0,16355,19073,6,0,0,5,4907,2511,1276,9665,7459,39824,3321,0,1451,1178,2758,2,10578,0,16,2244,913,5248,18,3851,0
2015,1,56,68,1,73662,7,0,110,11,0,14,54128,26560,9,0,0,3,10888,5019,2584,17448,17024,56434,9005,8,5303,3015,6270,37,29666,0,20,4111,1327,14308,80,5572,5
2016,2,42,62,4,23138,6,2,166,27,90,23,27787,34428,57,0,0,57,5905,3085,1509,10039,8970,53518,4548,36,2714,1470,3260,50,17553,2,117,3111,1187,7923,90,6248,20
2017,0,1,2,0,20052,2,0,8,1,0,2,22795,37956,0,74,397,0,4906,2665,1024,7740,6745,47996,3982,0,2119,1312,2806,4,16704,2,9,2821,1041,7139,6,7507,0
2018,0,1,1,1,20417,0,0,5,0,0,0,22917,52172,3,398,2935,0,4923,2469,1136,6735,6662,51468,3826,0,1918,1258,2348,1,19224,0,2,2911,1271,7169,7,11381,0
2019,2,5,2,0,22386,0,0,16,3,3,4,23480,71774,2,655,7754,1,4955,5211,1048,6860,6360,56966,3986,1,2057,2639,2474,6,21442,0,6,3262,1522,7663,9,16544,1
2020,0,0,0,0,23776,0,0,4,0,0,3,27980,98527,1,1226,14605,3,5659,2602,913,6877,7312,62427,4519,0,2441,1450,2562,0,27136,1,2,4484,2112,8843,6,19361,0
2021,0,0,3,0,23252,0,0,3,0,0,0,28158,115974,1,1712,14903,1,6296,2878,1209,7543,7474,65441,4504,0,2310,1366,2586,2,26279,0,1,4020,2506,10037,1,15324,0
2022,0,1,0,0,24154,0,0,2,0,2,0,27314,125977,0,1727,16332,0,6258,3331,1161,7962,7566,65795,4437,0,2192,1393,2482,0,26036,0,0,3753,2280,10775,0,14045,1
2023,0,2,1,0,27231,0,0,5,0,0,0,30311,157306,0,2136,17998,0,7121,3354,1230,8363,8343,77417,5572,0,2452,1497,2725,0,29355,0,3,4430,2674,12640,1,15414,0
2024,0,0,2,0,30901,0,0,1,0,0,0,40369,245638,1,3346,25073,1,9280,4006,1533,10385,10768,107454,7569,0,3053,1661,3418,1,36026,0,1,6015,3926,19447,5,21908,0
2025,0,0,0,0,3521,0,0,0,0,0,0,4799,23492,0,382,2448,1,1058,492,221,1297,1290,11385,826,0,360,193,387,0,4118,0,0,612,355,2287,0,2207,0
