Year,acc-phys,adap-org,alg-geom,ao-sci,astro-ph,astro-ph.CO,astro-ph.EP,astro-ph.GA,astro-ph.HE,astro-ph.IM,astro-ph.SR,atom-ph,bayes-an,chao-dyn,chem-ph,cmp-lg,comp-gas,cond-mat,cond-mat.dis-nn,cond-mat.mes-hall,cond-mat.mtrl-sci,cond-mat.other,cond-mat.quant-gas,cond-mat.soft,cond-mat.stat-mech,cond-mat.str-el,cond-mat.supr-con,cs.AI,cs.AR,cs.CC,cs.CE,cs.CG,cs.CL,cs.CR,cs.CV,cs.CY,cs.DB,cs.DC,cs.DL,cs.DM,cs.DS,cs.ET,cs.FL,cs.GL,cs.GR,cs.GT,cs.HC,cs.IR,cs.IT,cs.LG,cs.LO,cs.MA,cs.MM,cs.MS,cs.NA,cs.NE,cs.NI,cs.OH,cs.OS,cs.PF,cs.PL,cs.RO,cs.SC,cs.SD,cs.SE,cs.SI,cs.SY,dg-ga,econ.EM,econ.GN,econ.TH,eess.AS,eess.IV,eess.SP,eess.SY,funct-an,gr-qc,hep-ex,hep-lat,hep-ph,hep-th,math-ph,math.AC,math.AG,math.AP,math.AT,math.CA,math.CO,math.CT,math.CV,math.DG,math.DS,math.FA,math.GM,math.GN,math.GR,math.GT,math.HO,math.IT,math.KT,math.LO,math.MG,math.MP,math.NA,math.NT,math.OA,math.OC,math.PR,math.QA,math.RA,math.RT,math.SG,math.SP,math.ST,mtrl-th,nlin.AO,nlin.CD,nlin.CG,nlin.PS,nlin.SI,nucl-ex,nucl-th,patt-sol,physics.acc-ph,physics.ao-ph,physics.app-ph,physics.atm-clus,physics.atom-ph,physics.bio-ph,physics.chem-ph,physics.class-ph,physics.comp-ph,physics.data-an,physics.ed-ph,physics.flu-dyn,physics.gen-ph,physics.geo-ph,physics.hist-ph,physics.ins-det,physics.med-ph,physics.optics,physics.plasm-ph,physics.pop-ph,physics.soc-ph,physics.space-ph,plasm-ph,q-alg,q-bio,q-bio.BM,q-bio.CB,q-bio.GN,q-bio.MN,q-bio.NC,q-bio.OT,q-bio.PE,q-bio.QM,q-bio.SC,q-bio.TO,q-fin.CP,q-fin.EC,q-fin.GN,q-fin.MF,q-fin.PM,q-fin.PR,q-fin.RM,q-fin.ST,q-fin.TR,quant-ph,solv-int,stat.AP,stat.CO,stat.ME,stat.ML,stat.OT,stat.TH,supr-con
2007,1,96,98,0,21177,0,0,0,0,0,0,6,0,339,15,105,14,2780,2415,4249,4942,1666,0,2880,6383,4917,3629,964,83,643,233,244,637,411,184,211,328,484,181,436,549,0,0,30,57,151,175,274,1066,332,592,142,45,64,85,276,487,138,35,106,358,167,112,18,263,0,0,67,0,0,0,0,0,0,0,18,6267,2898,1580,14868,11553,6524,1605,7002,2728,1515,1715,4380,569,1621,4750,2278,2159,635,421,1864,2698,271,1066,657,850,761,6524,712,3300,1753,725,3431,3329,1745,2471,1352,889,998,16,573,1703,141,685,1216,958,3348,72,602,313,0,213,861,852,823,787,767,625,425,732,2043,334,305,459,215,1108,654,179,611,209,1,100,542,455,128,258,293,341,120,594,446,127,93,0,0,0,0,0,0,0,0,0,10483,275,70,28,96,16,0,998,11
2008,27,122,1002,9,11262,0,0,0,0,0,0,24,12,343,59,670,58,556,572,1313,1459,872,0,685,2134,1523,1004,228,7,224,34,82,724,161,63,60,85,123,33,262,275,0,0,11,21,102,94,71,649,96,184,50,37,18,44,69,205,192,19,39,57,57,67,5,100,0,0,484,0,0,0,0,0,0,0,273,5703,3119,2127,13637,11485,2617,342,2341,905,303,511,1209,145,457,1647,586,772,178,98,504,548,71,649,166,316,188,2617,260,844,489,349,1284,1570,445,702,236,219,583,46,236,645,90,202,695,1629,4649,69,244,94,0,51,353,183,262,272,246,303,81,298,610,145,108,355,70,391,214,69,585,112,8,766,62,113,44,73,69,102,32,222,191,56,29,79,0,158,0,63,154,71,374,103,3022,242,185,59,210,67,0,583,12
2009,9,248,122,2,55432,1617,297,779,934,403,943,72,1,1354,134,22,102,8697,5419,10008,9971,3506,233,6114,14438,12623,9490,377,20,329,87,133,132,315,127,99,158,221,117,326,434,0,108,13,29,153,93,160,942,202,296,82,52,39,62,124,402,93,14,90,117,62,72,14,157,0,0,83,0,0,0,0,0,0,0,54,13712,3263,5764,30680,30824,5873,403,1895,1499,512,605,1528,245,576,1812,1076,870,150,133,686,828,97,942,212,345,277,5873,374,1006,494,355,1703,1943,531,818,400,360,660,153,695,3466,219,1649,1861,2227,9536,401,400,270,0,383,2242,909,1173,737,926,734,197,1192,973,298,145,742,175,2117,989,122,1149,256,24,483,607,517,145,147,238,209,84,450,418,159,69,71,0,180,0,57,103,59,324,122,14067,636,206,81,273,118,0,660,119
2010,1,1,22,0,2839,1994,299,589,902,501,972,2,1,12,0,0,1,137,537,2011,1758,666,592,749,1659,1650,1156,436,37,322,137,156,77,423,250,100,182,312,102,371,464,0,145,3,41,179,93,152,976,241,429,89,91,50,97,198,622,170,26,69,181,68,92,25,213,77,29,10,0,0,0,0,0,0,0,4,4000,2210,1487,7435,7555,2293,408,1629,1313,415,692,1591,241,526,1282,808,817,139,195,727,622,105,976,215,301,288,2293,459,1056,366,461,1554,555,551,843,233,274,508,0,167,335,47,187,301,727,1686,1,134,131,0,72,407,384,324,250,408,269,70,493,534,181,93,309,78,613,276,103,488,109,0,13,2,137,63,66,120,135,48,235,200,52,41,92,0,92,0,57,104,72,88,54,3063,10,240,123,276,178,11,508,2
2011,1,2,10,0,3632,2324,405,703,1061,543,1272,4,0,9,1,0,0,161,486,2274,2026,583,767,870,2041,1846,1298,704,140,332,115,168,103,389,286,97,200,373,126,471,607,47,152,5,38,237,72,159,1084,334,468,88,83,49,108,129,528,113,29,82,232,91,85,25,238,380,327,4,0,0,0,0,0,0,0,5,3998,1843,1137,8570,6625,3234,476,1647,1626,482,704,1948,247,559,1469,1021,1000,126,207,803,709,115,1084,236,357,327,3234,581,1284,465,699,1747,626,579,884,288,303,668,0,171,404,51,179,344,917,2416,2,232,162,0,85,468,434,399,272,447,387,76,498,581,194,158,377,116,799,316,106,572,139,0,27,3,150,56,75,120,148,38,301,246,52,47,78,0,107,0,55,92,87,114,33,3868,16,339,129,373,278,27,668,2
2012,4,5,7,0,498,1876,384,600,1026,622,1159,0,0,12,0,2,0,46,498,2724,2433,505,935,933,1904,2065,1321,982,53,389,193,218,199,553,462,177,373,451,174,600,763,66,185,11,46,376,140,350,1451,1113,489,113,97,94,152,188,818,186,22,102,187,135,76,27,352,634,411,0,0,0,0,0,0,0,0,0,2447,2530,708,3268,2954,2905,474,1761,1832,435,928,2373,263,636,1471,1192,1203,119,222,762,730,150,1451,216,423,352,2905,808,1390,461,971,2054,562,612,929,288,322,821,2,232,448,75,192,321,746,1136,0,347,154,0,65,618,534,576,305,533,373,92,598,512,205,240,478,120,1081,344,112,819,140,0,9,5,155,78,121,159,221,49,402,280,60,58,88,0,130,0,68,115,91,86,46,3981,7,452,235,550,911,45,821,2
2013,0,0,6,0,163,2640,510,642,1444,696,1285,0,0,4,0,0,0,37,768,3819,3178,555,1251,1370,2452,2879,1711,1671,64,435,293,292,292,612,707,408,302,602,282,561,964,112,208,11,82,390,196,365,1949,1173,630,118,120,103,178,267,878,150,40,112,303,168,117,48,428,797,529,4,0,0,0,0,0,0,0,1,3283,2106,1063,5765,4458,3095,551,1799,2307,522,1009,2589,319,659,1618,1236,1275,88,206,917,752,156,1949,246,517,455,3095,984,1604,559,1298,2414,534,786,1001,286,365,984,0,254,480,50,276,354,912,1897,2,373,166,0,90,851,604,635,321,602,406,125,764,423,218,222,629,143,1482,450,109,1053,181,0,3,6,268,88,231,234,295,51,615,373,68,87,90,0,169,0,81,150,96,119,71,5486,4,556,252,646,945,30,984,0
2014,1,2,15,0,1383,3473,828,1565,1690,951,2092,0,0,5,0,0,0,102,642,3578,3097,394,1074,1270,2308,2503,1387,1009,97,498,310,290,491,711,1069,493,302,651,223,610,1060,114,270,3,81,484,247,395,2065,1473,778,188,146,125,222,403,986,157,37,126,273,233,135,63,660,981,614,6,0,0,0,0,0,0,0,5,4907,2511,1276,9665,7459,3321,568,2284,2631,884,1120,2993,363,848,1949,1596,1510,123,223,1255,1708,194,2065,343,563,571,3321,1319,1995,634,1505,2592,771,821,1171,545,438,921,0,244,475,45,266,421,1178,2758,2,404,209,0,95,778,596,731,296,594,401,134,845,380,227,263,888,187,1604,479,96,1173,198,0,16,3,214,88,215,205,353,50,587,385,65,79,88,34,164,57,107,138,114,146,65,5248,18,620,306,816,1132,56,921,0
2015,1,56,68,1,4124,19073,5781,12952,11252,4414,16066,7,0,110,11,0,14,617,2086,10884,9863,1959,3057,4245,8261,8034,5122,1123,95,733,327,407,725,890,1984,663,392,957,286,822,1523,170,344,5,129,627,277,511,3326,2200,1234,177,195,144,354,607,1080,137,40,169,390,341,115,122,538,1498,903,9,0,0,0,0,0,0,0,3,10888,5019,2584,17448,17024,9005,607,2850,4224,773,1491,3644,445,991,2664,2572,1814,163,269,1254,1266,183,3326,337,678,653,9005,2123,2305,744,2174,3692,1157,938,1533,571,767,1221,8,693,1798,129,1209,1474,3015,6270,37,806,548,0,317,2980,1611,1996,817,1729,1079,317,2462,750,563,442,2205,368,5304,2312,222,2128,710,0,20,50,542,253,252,388,598,72,929,633,236,158,114,90,225,130,112,120,126,281,129,14308,80,915,480,1206,1677,73,1221,5
2016,2,42,62,4,3283,3881,1864,4611,3587,1738,4174,6,2,166,27,90,23,898,1084,5803,5219,686,1513,2502,3913,3881,2288,1772,145,608,269,408,1629,1165,3310,815,441,1108,274,784,1445,203,269,6,150,684,520,586,4981,3294,865,258,273,149,313,863,1821,151,40,223,401,687,139,264,547,1351,1217,57,0,0,0,0,0,0,0,57,5905,3085,1509,10039,8970,4548,736,2725,3712,839,1606,3687,414,1030,2459,2252,1989,179,316,1257,1348,216,4981,320,935,690,4548,2048,2316,780,2577,3615,994,1016,1503,473,605,1352,36,435,938,103,574,664,1470,3260,50,462,307,0,206,1458,943,1417,478,1046,530,298,1471,509,354,294,1531,316,3043,961,136,1416,377,2,117,57,325,153,187,235,608,82,659,511,143,151,111,127,190,203,96,111,121,149,79,7923,90,899,443,1185,2301,68,1352,20
